src	tgt
4978+204	5182
5941+970	6911
2983+915	3898
1672+455	2127
8018+777	8795
170+9289	9459
6590+112	6702
942+9031	9973
543+470	1013
8532+824	9356
545+280	825
9548+766	10314
730+9817	10547
576+8136	8712
5397+430	5827
950+188	1138
561+4995	5556
683+7209	7892
129+9098	9227
286+8988	9274
463+916	1379
448+5581	6029
5526+669	6195
629+295	924
347+837	1184
600+4937	5537
8800+761	9561
9041+558	9599
195+401	596
514+808	1322
413+779	1192
7046+584	7630
9698+452	10150
863+6419	7282
819+8434	9253
413+5118	5531
223+838	1061
423+222	645
9779+880	10659
4033+296	4329
856+595	1451
841+9595	10436
5636+202	5838
403+332	735
283+5952	6235
825+646	1471
380+146	526
666+399	1065
3068+753	3821
205+1200	1405
5658+580	6238
551+6582	7133
152+358	510
216+2070	2286
603+2213	2816
1878+255	2133
930+676	1606
187+5066	5253
671+882	1553
720+4697	5417
7232+561	7793
404+8025	8429
682+1986	2668
2625+881	3506
740+316	1056
776+2330	3106
345+277	622
2229+260	2489
518+561	1079
8699+398	9097
337+395	732
5632+819	6451
172+4824	4996
906+4241	5147
217+9922	10139
763+252	1015
946+3330	4276
161+269	430
709+5728	6437
227+8679	8906
5982+816	6798
378+9199	9577
9090+548	9638
712+140	852
852+6280	7132
5102+126	5228
334+790	1124
1339+883	2222
5415+690	6105
881+874	1755
581+631	1212
8245+384	8629
699+546	1245
9056+193	9249
456+7690	8146
428+2713	3141
437+521	958
9117+395	9512
7561+933	8494
1601+565	2166
422+358	780
218+7622	7840
1018+773	1791
8569+523	9092
292+630	922
737+9167	9904
8242+878	9120
308+373	681
3146+394	3540
815+8941	9756
129+745	874
4920+826	5746
418+664	1082
665+517	1182
330+961	1291
572+220	792
3522+610	4132
5781+621	6402
5479+525	6004
583+4993	5576
664+3369	4033
295+9327	9622
3236+984	4220
382+891	1273
448+9318	9766
940+1042	1982
843+5891	6734
9022+986	10008
557+651	1208
453+6446	6899
9903+486	10389
429+4090	4519
4912+685	5597
339+7730	8069
425+862	1287
822+7246	8068
779+3492	4271
137+3068	3205
6439+990	7429
995+965	1960
202+9617	9819
115+3361	3476
991+3529	4520
580+900	1480
446+7512	7958
2315+972	3287
972+9742	10714
424+8994	9418
1588+732	2320
340+746	1086
5708+332	6040
2480+544	3024
878+748	1626
2646+554	3200
810+406	1216
147+432	579
400+467	867
541+3385	3926
643+521	1164
3950+274	4224
180+724	904
734+4945	5679
697+3344	4041
572+753	1325
570+5183	5753
1153+923	2076
394+9955	10349
175+552	727
701+5901	6602
7951+806	8757
567+5949	6516
493+973	1466
209+4886	5095
685+6881	7566
5847+816	6663
122+7484	7606
108+1803	1911
9138+952	10090
894+4770	5664
6772+324	7096
4115+735	4850
794+3240	4034
2591+742	3333
1645+416	2061
134+6977	7111
3153+192	3345
434+7807	8241
305+235	540
6994+643	7637
5465+950	6415
363+944	1307
925+5835	6760
6549+923	7472
579+177	756
872+331	1203
7511+966	8477
6992+192	7184
114+5332	5446
3024+565	3589
788+5295	6083
7242+942	8184
7086+210	7296
4830+582	5412
734+674	1408
724+4626	5350
2035+750	2785
817+5951	6768
7689+219	7908
146+138	284
604+2902	3506
340+650	990
497+564	1061
786+9850	10636
701+3531	4232
770+2622	3392
730+7686	8416
133+7070	7203
554+555	1109
975+471	1446
802+476	1278
6876+162	7038
382+4109	4491
968+943	1911
193+4475	4668
1349+151	1500
349+3063	3412
4362+170	4532
4394+700	5094
932+990	1922
436+892	1328
907+710	1617
383+979	1362
233+653	886
917+3858	4775
776+987	1763
234+115	349
908+4898	5806
6304+116	6420
371+153	524
859+531	1390
2862+863	3725
587+559	1146
625+2786	3411
615+4629	5244
1710+844	2554
9543+408	9951
758+1510	2268
590+967	1557
536+2768	3304
829+8267	9096
182+429	611
3430+167	3597
381+739	1120
9984+829	10813
490+9692	10182
564+9282	9846
8048+201	8249
2874+973	3847
4522+540	5062
333+7779	8112
947+8430	9377
525+2557	3082
537+6120	6657
5176+483	5659
803+585	1388
193+951	1144
195+542	737
862+856	1718
931+3131	4062
1982+700	2682
6400+786	7186
520+462	982
7929+988	8917
1842+394	2236
6119+460	6579
691+619	1310
258+772	1030
329+2773	3102
965+7022	7987
880+385	1265
4705+926	5631
965+1430	2395
5381+129	5510
379+819	1198
447+6751	7198
285+990	1275
679+773	1452
171+3324	3495
1502+193	1695
9691+320	10011
529+8432	8961
261+7062	7323
838+6314	7152
2391+153	2544
261+872	1133
1815+790	2605
378+553	931
7947+597	8544
8242+524	8766
320+9394	9714
453+540	993
390+794	1184
8972+639	9611
6053+146	6199
504+713	1217
107+309	416
316+3248	3564
396+6375	6771
107+609	716
8055+279	8334
489+645	1134
4770+612	5382
6802+173	6975
982+1693	2675
119+8532	8651
982+420	1402
8033+687	8720
826+7843	8669
217+7636	7853
432+275	707
8538+951	9489
6928+190	7118
964+2734	3698
546+703	1249
636+2288	2924
991+6083	7074
6562+326	6888
897+3754	4651
622+748	1370
643+622	1265
894+457	1351
844+3419	4263
205+249	454
302+3842	4144
3504+878	4382
2234+281	2515
9095+575	9670
8354+797	9151
6295+984	7279
6179+254	6433
169+8682	8851
746+5961	6707
705+1920	2625
619+2215	2834
572+8404	8976
158+477	635
178+2479	2657
9307+493	9800
694+1672	2366
929+4084	5013
719+8792	9511
3471+163	3634
205+6626	6831
2381+616	2997
3827+140	3967
824+548	1372
636+9564	10200
3600+472	4072
389+7347	7736
893+6543	7436
1857+908	2765
6482+167	6649
196+7333	7529
358+3463	3821
183+3317	3500
417+7421	7838
709+825	1534
417+672	1089
758+6381	7139
786+819	1605
9624+195	9819
7937+620	8557
118+6940	7058
284+4509	4793
884+8967	9851
331+240	571
179+402	581
619+889	1508
9626+138	9764
6517+997	7514
3147+711	3858
257+3658	3915
951+809	1760
3712+838	4550
144+7731	7875
792+4891	5683
725+5668	6393
8355+339	8694
4918+416	5334
955+4178	5133
794+8218	9012
887+5616	6503
614+9641	10255
265+4271	4536
3267+993	4260
153+8873	9026
667+2680	3347
9452+971	10423
391+185	576
379+560	939
3414+950	4364
193+4637	4830
457+1436	1893
154+7495	7649
7126+341	7467
183+7142	7325
128+426	554
959+831	1790
6493+910	7403
240+139	379
949+8740	9689
3273+877	4150
8685+559	9244
1086+181	1267
362+320	682
661+844	1505
9647+533	10180
894+395	1289
408+224	632
344+529	873
8489+164	8653
956+611	1567
9782+116	9898
9443+688	10131
835+247	1082
539+1025	1564
6780+346	7126
7825+291	8116
2402+636	3038
169+9618	9787
9312+905	10217
1333+499	1832
144+7338	7482
359+1266	1625
907+2106	3013
346+2698	3044
6447+236	6683
460+659	1119
933+3868	4801
8612+812	9424
746+3986	4732
164+833	997
137+5807	5944
144+910	1054
142+423	565
627+7524	8151
8756+359	9115
871+762	1633
392+465	857
986+771	1757
379+3039	3418
547+7553	8100
8204+495	8699
291+9129	9420
9151+476	9627
5369+920	6289
844+534	1378
540+716	1256
658+400	1058
205+2311	2516
776+5843	6619
556+7981	8537
806+554	1360
557+1693	2250
6776+729	7505
381+1939	2320
787+752	1539
472+9406	9878
3621+131	3752
969+722	1691
8179+135	8314
168+341	509
7001+470	7471
680+1530	2210
3513+795	4308
479+7095	7574
881+2259	3140
3255+642	3897
507+6150	6657
5566+355	5921
126+853	979
611+630	1241
675+2929	3604
893+5264	6157
8311+319	8630
5678+810	6488
304+3009	3313
973+175	1148
276+8292	8568
929+798	1727
783+6692	7475
2063+663	2726
5757+407	6164
828+826	1654
3852+912	4764
620+4673	5293
305+911	1216
342+909	1251
126+6912	7038
7044+578	7622
3126+726	3852
167+416	583
834+8842	9676
7730+887	8617
943+2208	3151
424+757	1181
560+577	1137
9476+452	9928
999+948	1947
3981+886	4867
543+614	1157
951+227	1178
3507+411	3918
265+430	695
4694+454	5148
5653+966	6619
356+301	657
5496+228	5724
5961+729	6690
2530+614	3144
3762+706	4468
3526+275	3801
6531+962	7493
1674+945	2619
183+146	329
5336+766	6102
885+685	1570
732+1496	2228
742+9938	10680
757+5949	6706
350+7653	8003
564+2195	2759
1981+261	2242
525+8933	9458
308+6573	6881
3353+420	3773
6231+851	7082
508+3142	3650
627+2739	3366
347+8642	8989
373+560	933
244+199	443
397+493	890
7850+354	8204
933+435	1368
6123+294	6417
610+627	1237
610+6055	6665
123+2475	2598
617+8491	9108
320+697	1017
149+1828	1977
606+8710	9316
649+1133	1782
541+237	778
844+6992	7836
474+1741	2215
152+4189	4341
666+5728	6394
495+616	1111
882+5582	6464
2946+231	3177
503+482	985
671+6990	7661
303+716	1019
7576+612	8188
146+139	285
830+441	1271
631+8487	9118
720+627	1347
435+727	1162
266+7438	7704
5902+707	6609
619+9351	9970
9025+825	9850
5911+586	6497
477+439	916
2795+526	3321
6040+915	6955
1436+711	2147
371+4728	5099
1841+697	2538
274+9589	9863
7229+251	7480
4968+132	5100
2800+295	3095
551+421	972
255+7765	8020
4340+520	4860
8726+993	9719
2020+822	2842
631+312	943
6325+778	7103
638+7173	7811
277+8531	8808
6608+659	7267
792+5331	6123
8932+296	9228
385+671	1056
330+5876	6206
821+4396	5217
9011+424	9435
457+5480	5937
224+9899	10123
504+6654	7158
397+143	540
831+2294	3125
552+5201	5753
8849+319	9168
947+651	1598
675+5450	6125
211+730	941
4920+348	5268
785+643	1428
753+338	1091
202+523	725
834+8739	9573
797+889	1686
105+663	768
516+768	1284
588+4267	4855
428+5676	6104
1969+887	2856
767+687	1454
647+856	1503
1611+279	1890
957+3880	4837
956+506	1462
290+5742	6032
109+405	514
2758+443	3201
565+9901	10466
9092+237	9329
8668+379	9047
928+215	1143
266+8518	8784
5215+835	6050
114+854	968
909+5833	6742
4164+279	4443
7643+946	8589
627+6372	6999
510+785	1295
289+243	532
431+5064	5495
367+492	859
557+871	1428
437+5947	6384
1187+367	1554
6890+809	7699
163+783	946
576+414	990
515+802	1317
6095+806	6901
754+402	1156
729+4618	5347
236+589	825
565+865	1430
7121+525	7646
9998+582	10580
4578+880	5458
796+872	1668
2341+638	2979
640+6927	7567
677+214	891
948+660	1608
4312+686	4998
3455+268	3723
974+9525	10499
219+4365	4584
9008+193	9201
8298+928	9226
564+235	799
7806+567	8373
1945+672	2617
788+6049	6837
1356+505	1861
936+1049	1985
4570+692	5262
146+533	679
817+2044	2861
1987+170	2157
132+5703	5835
284+3218	3502
7887+483	8370
559+7184	7743
182+9835	10017
769+980	1749
221+3924	4145
7439+641	8080
845+328	1173
874+123	997
574+9920	10494
644+7214	7858
353+571	924
258+5516	5774
996+842	1838
132+928	1060
7868+729	8597
346+311	657
203+708	911
557+712	1269
1797+350	2147
1724+511	2235
339+9843	10182
872+984	1856
243+615	858
339+6224	6563
6253+342	6595
997+3347	4344
9540+326	9866
407+5508	5915
670+705	1375
3869+741	4610
7999+669	8668
148+6642	6790
7244+904	8148
6222+813	7035
518+3444	3962
485+4012	4497
8758+346	9104
407+978	1385
3365+925	4290
159+7761	7920
670+9683	10353
497+348	845
308+6411	6719
2295+560	2855
194+9775	9969
4120+152	4272
486+1647	2133
292+923	1215
4555+590	5145
990+440	1430
115+4470	4585
859+220	1079
8846+348	9194
4350+506	4856
665+429	1094
489+8639	9128
6886+415	7301
468+9401	9869
577+2615	3192
8692+879	9571
308+7073	7381
523+1749	2272
4625+859	5484
116+367	483
7841+402	8243
300+437	737
488+683	1171
611+663	1274
6530+363	6893
840+9037	9877
272+6770	7042
243+837	1080
9000+288	9288
1962+636	2598
959+967	1926
937+784	1721
882+106	988
240+4791	5031
824+254	1078
323+617	940
482+1990	2472
8916+775	9691
116+1108	1224
7739+112	7851
642+839	1481
648+5697	6345
614+932	1546
8054+925	8979
209+198	407
3439+346	3785
734+639	1373
934+6807	7741
914+7502	8416
482+515	997
678+4984	5662
4700+407	5107
2320+769	3089
1519+195	1714
488+7179	7667
8798+157	8955
1154+819	1973
184+611	795
760+6427	7187
2562+640	3202
335+316	651
8790+377	9167
176+800	976
656+1539	2195
970+422	1392
312+701	1013
870+940	1810
7525+178	7703
266+4939	5205
7375+793	8168
6435+493	6928
3292+909	4201
2284+612	2896
6666+154	6820
547+337	884
448+719	1167
7499+892	8391
130+5478	5608
602+4737	5339
666+7150	7816
290+7227	7517
890+733	1623
917+5037	5954
2204+184	2388
257+7225	7482
3527+857	4384
424+6909	7333
193+105	298
555+6896	7451
204+3170	3374
291+541	832
670+9395	10065
205+1430	1635
462+667	1129
711+712	1423
984+7311	8295
398+523	921
897+2387	3284
4977+685	5662
3778+801	4579
273+3274	3547
408+5397	5805
249+2036	2285
545+382	927
406+8933	9339
469+357	826
838+740	1578
708+4203	4911
209+3219	3428
106+7483	7589
961+7224	8185
550+6484	7034
935+3230	4165
428+4290	4718
421+3910	4331
426+5775	6201
9044+689	9733
433+485	918
936+7437	8373
216+4273	4489
9939+284	10223
1440+844	2284
825+4434	5259
916+5773	6689
2133+938	3071
789+9180	9969
748+410	1158
358+774	1132
832+533	1365
175+8357	8532
8851+696	9547
647+9300	9947
7853+656	8509
909+468	1377
9796+708	10504
2392+211	2603
773+780	1553
270+1725	1995
7547+870	8417
915+8052	8967
110+200	310
327+9366	9693
9499+671	10170
4621+556	5177
500+8586	9086
9199+254	9453
125+8909	9034
402+525	927
218+951	1169
3321+456	3777
451+8460	8911
633+594	1227
587+2599	3186
839+8412	9251
168+5919	6087
929+827	1756
123+969	1092
763+2791	3554
3692+858	4550
628+278	906
3623+438	4061
7985+573	8558
916+514	1430
4022+290	4312
8080+505	8585
855+728	1583
560+706	1266
498+1072	1570
4519+310	4829
870+2025	2895
2667+918	3585
4063+474	4537
301+8496	8797
368+786	1154
640+6134	6774
7367+725	8092
701+2871	3572
460+8501	8961
3826+933	4759
5873+729	6602
2388+788	3176
420+220	640
412+219	631
482+810	1292
623+497	1120
710+3258	3968
7286+533	7819
598+750	1348
3838+668	4506
601+395	996
291+422	713
734+1878	2612
109+8939	9048
299+934	1233
675+9281	9956
9109+518	9627
9056+525	9581
8272+600	8872
184+678	862
914+879	1793
399+133	532
330+9808	10138
272+8492	8764
9115+662	9777
2854+686	3540
374+893	1267
7010+655	7665
878+836	1714
659+4580	5239
204+5055	5259
995+1528	2523
369+6711	7080
549+986	1535
894+931	1825
314+930	1244
6744+981	7725
8015+269	8284
3281+903	4184
933+311	1244
683+459	1142
5605+711	6316
3758+431	4189
5794+396	6190
5380+978	6358
2560+238	2798
160+5543	5703
3078+818	3896
355+249	604
6277+948	7225
879+963	1842
7434+601	8035
691+747	1438
742+7786	8528
562+2237	2799
2525+512	3037
5558+811	6369
565+8996	9561
695+1040	1735
2526+848	3374
750+6869	7619
914+647	1561
323+8039	8362
606+374	980
948+5646	6594
660+3139	3799
8951+907	9858
798+1793	2591
201+741	942
116+3035	3151
551+567	1118
538+307	845
3161+765	3926
262+5489	5751
770+469	1239
184+7092	7276
3711+153	3864
740+6005	6745
4836+539	5375
2494+820	3314
101+318	419
179+3174	3353
4705+631	5336
8291+109	8400
812+451	1263
980+532	1512
3165+589	3754
334+492	826
848+925	1773
205+420	625
406+3246	3652
892+3181	4073
3340+170	3510
1138+724	1862
3688+550	4238
839+4490	5329
3480+521	4001
8248+980	9228
188+202	390
870+226	1096
7291+459	7750
422+3290	3712
383+760	1143
354+666	1020
5668+897	6565
1439+968	2407
5942+310	6252
9348+293	9641
7418+402	7820
1894+902	2796
606+495	1101
346+611	957
2163+640	2803
469+424	893
496+981	1477
7895+474	8369
3830+881	4711
888+2195	3083
701+169	870
368+320	688
161+908	1069
618+5693	6311
9209+885	10094
533+7590	8123
755+649	1404
3501+384	3885
417+180	597
4329+927	5256
649+434	1083
700+2083	2783
815+8167	8982
4909+159	5068
188+544	732
564+726	1290
1901+416	2317
3877+222	4099
824+240	1064
1185+267	1452
455+9568	10023
5247+270	5517
229+5403	5632
2934+889	3823
443+926	1369
378+9582	9960
369+829	1198
2262+608	2870
623+6900	7523
611+979	1590
3734+476	4210
361+891	1252
687+790	1477
2889+333	3222
9336+102	9438
979+983	1962
350+147	497
472+7274	7746
283+978	1261
666+922	1588
7870+329	8199
354+7819	8173
6241+377	6618
685+481	1166
614+789	1403
283+328	611
1752+510	2262
998+576	1574
892+6090	6982
188+8483	8671
477+305	782
677+5979	6656
4974+575	5549
705+9083	9788
850+659	1509
254+106	360
124+4817	4941
6675+751	7426
1157+443	1600
877+773	1650
969+6038	7007
310+642	952
529+603	1132
245+828	1073
195+1719	1914
965+632	1597
817+7102	7919
865+2391	3256
2565+617	3182
752+939	1691
176+2020	2196
778+3141	3919
398+367	765
920+7438	8358
6345+425	6770
378+4827	5205
307+239	546
2785+259	3044
268+560	828
421+7660	8081
648+466	1114
562+415	977
371+2964	3335
261+926	1187
5984+946	6930
1660+320	1980
251+2494	2745
5066+464	5530
625+1802	2427
5896+366	6262
131+514	645
669+5093	5762
573+204	777
224+112	336
950+899	1849
233+302	535
481+2376	2857
5240+932	6172
122+166	288
761+554	1315
194+967	1161
225+1699	1924
151+3752	3903
8096+941	9037
7471+608	8079
491+799	1290
276+6799	7075
291+381	672
556+3435	3991
728+734	1462
5026+762	5788
610+7750	8360
8848+162	9010
386+492	878
529+304	833
9614+355	9969
9907+913	10820
491+900	1391
6883+591	7474
8940+452	9392
9231+429	9660
376+3946	4322
426+711	1137
130+930	1060
159+8728	8887
6856+885	7741
4813+263	5076
353+772	1125
372+646	1018
1916+882	2798
689+966	1655
463+3846	4309
342+706	1048
925+6878	7803
1462+820	2282
6761+681	7442
3328+676	4004
956+929	1885
655+6063	6718
602+138	740
157+338	495
4584+120	4704
8831+100	8931
728+4300	5028
448+834	1282
921+964	1885
160+1359	1519
700+821	1521
892+213	1105
6978+174	7152
821+7481	8302
2655+444	3099
430+3235	3665
849+547	1396
8982+764	9746
278+6846	7124
781+703	1484
487+414	901
5825+230	6055
846+101	947
7415+971	8386
1530+286	1816
6213+928	7141
4619+754	5373
2705+608	3313
439+863	1302
343+455	798
271+2453	2724
6500+557	7057
371+314	685
809+169	978
362+2770	3132
1020+149	1169
548+7875	8423
523+604	1127
459+9946	10405
203+8855	9058
4695+266	4961
175+1547	1722
120+6221	6341
207+2215	2422
274+7151	7425
849+176	1025
2525+446	2971
8909+821	9730
541+769	1310
721+544	1265
154+203	357
310+4112	4422
813+9849	10662
776+5612	6388
343+2571	2914
502+685	1187
9043+257	9300
469+103	572
189+5825	6014
8869+304	9173
126+311	437
753+398	1151
584+964	1548
415+903	1318
582+9013	9595
5341+193	5534
9914+496	10410
479+490	969
291+8303	8594
369+550	919
369+4706	5075
677+2009	2686
870+813	1683
2584+187	2771
6632+927	7559
7782+874	8656
4727+666	5393
960+496	1456
7858+648	8506
8779+686	9465
587+406	993
504+974	1478
1568+614	2182
9467+919	10386
3415+223	3638
277+3738	4015
927+297	1224
143+533	676
799+545	1344
942+742	1684
954+709	1663
427+2097	2524
497+669	1166
665+6343	7008
632+8506	9138
905+817	1722
9561+900	10461
215+7790	8005
251+680	931
2641+208	2849
2654+904	3558
988+9775	10763
998+7732	8730
492+8955	9447
8750+138	8888
382+512	894
733+723	1456
7581+139	7720
439+4892	5331
863+586	1449
481+1331	1812
937+5965	6902
387+9054	9441
2609+989	3598
237+407	644
8259+892	9151
375+7828	8203
2462+292	2754
316+7671	7987
8937+877	9814
7126+940	8066
627+910	1537
167+418	585
9303+513	9816
899+971	1870
1474+277	1751
996+952	1948
957+159	1116
133+567	700
469+821	1290
380+477	857
617+7503	8120
3029+797	3826
347+481	828
708+8308	9016
991+585	1576
6730+452	7182
957+364	1321
2480+391	2871
495+150	645
974+685	1659
977+326	1303
4688+793	5481
375+767	1142
625+1328	1953
1145+585	1730
762+277	1039
1138+329	1467
722+6004	6726
5511+533	6044
972+6713	7685
358+4575	4933
409+9530	9939
7506+698	8204
107+623	730
7131+674	7805
5631+405	6036
2771+593	3364
444+383	827
6327+982	7309
367+5895	6262
253+629	882
158+924	1082
7620+776	8396
797+3292	4089
1417+771	2188
402+5250	5652
514+7361	7875
1578+697	2275
4111+451	4562
4643+802	5445
8794+787	9581
619+5918	6537
960+773	1733
3967+400	4367
582+231	813
5237+842	6079
3999+796	4795
770+2463	3233
463+328	791
6031+530	6561
480+5269	5749
5817+574	6391
581+154	735
2166+583	2749
612+222	834
7253+642	7895
523+1885	2408
240+305	545
519+8496	9015
423+983	1406
3954+897	4851
599+440	1039
3897+420	4317
1950+104	2054
380+4430	4810
690+882	1572
601+904	1505
232+729	961
748+8035	8783
539+8821	9360
104+1618	1722
4267+848	5115
114+6279	6393
4122+118	4240
1067+741	1808
5076+331	5407
6641+419	7060
205+492	697
6015+271	6286
943+146	1089
397+8469	8866
9524+710	10234
6535+544	7079
3192+450	3642
467+4087	4554
931+513	1444
333+329	662
3149+316	3465
1359+703	2062
3768+226	3994
828+1612	2440
997+5190	6187
1796+708	2504
777+210	987
1323+149	1472
2897+526	3423
489+3024	3513
5140+585	5725
3508+310	3818
1152+408	1560
777+2654	3431
9524+376	9900
3247+528	3775
623+836	1459
2928+389	3317
903+208	1111
303+4272	4575
951+9571	10522
466+820	1286
402+3627	4029
661+608	1269
804+592	1396
340+1044	1384
787+191	978
955+687	1642
9095+252	9347
898+623	1521
840+840	1680
362+759	1121
567+403	970
575+1820	2395
932+278	1210
972+397	1369
920+6123	7043
856+2898	3754
971+876	1847
109+972	1081
779+762	1541
436+466	902
736+5395	6131
2522+481	3003
287+2865	3152
509+8479	8988
955+7319	8274
8835+919	9754
764+3732	4496
235+812	1047
1960+964	2924
206+526	732
8908+921	9829
8178+285	8463
7221+897	8118
726+1472	2198
3140+594	3734
215+7738	7953
147+2037	2184
770+6148	6918
821+989	1810
9598+885	10483
4669+785	5454
631+9570	10201
2560+543	3103
5072+593	5665
779+7305	8084
959+946	1905
1894+111	2005
3571+617	4188
972+9123	10095
176+869	1045
428+4946	5374
384+1824	2208
4648+663	5311
7203+512	7715
180+570	750
920+8341	9261
977+610	1587
423+2944	3367
863+1291	2154
513+522	1035
670+662	1332
945+193	1138
5990+620	6610
4389+770	5159
8474+449	8923
945+1889	2834
964+565	1529
673+8751	9424
6952+833	7785
216+2596	2812
4633+102	4735
463+5783	6246
9552+482	10034
2741+146	2887
604+243	847
7704+209	7913
725+4209	4934
223+972	1195
320+8488	8808
833+446	1279
875+524	1399
748+957	1705
3018+890	3908
568+9260	9828
610+104	714
1795+666	2461
958+8912	9870
3903+808	4711
3845+848	4693
206+496	702
6273+616	6889
528+5067	5595
507+6617	7124
563+3185	3748
522+716	1238
9393+406	9799
9975+981	10956
828+4560	5388
314+739	1053
5760+803	6563
788+3173	3961
3913+615	4528
6281+827	7108
879+460	1339
8870+696	9566
7839+790	8629
9747+392	10139
927+1209	2136
2744+125	2869
248+1869	2117
1927+304	2231
868+3636	4504
799+5105	5904
959+163	1122
5835+308	6143
1529+467	1996
204+4675	4879
7371+343	7714
5712+809	6521
1769+490	2259
526+6122	6648
1881+113	1994
5117+307	5424
8259+949	9208
748+821	1569
7025+873	7898
9955+856	10811
4218+894	5112
4170+401	4571
281+2220	2501
277+852	1129
2955+486	3441
538+385	923
5329+233	5562
698+966	1664
105+6415	6520
826+3536	4362
257+430	687
1833+892	2725
5934+602	6536
6866+174	7040
6207+638	6845
288+633	921
905+617	1522
525+656	1181
7609+194	7803
326+4495	4821
6437+439	6876
400+4579	4979
9691+586	10277
1144+217	1361
6668+556	7224
757+728	1485
4994+140	5134
6258+490	6748
495+362	857
5633+125	5758
7143+626	7769
8300+598	8898
403+767	1170
428+626	1054
198+271	469
9736+107	9843
2072+315	2387
4492+985	5477
7950+955	8905
310+650	960
8130+762	8892
864+802	1666
124+570	694
6434+138	6572
175+155	330
913+357	1270
2154+688	2842
364+517	881
561+7626	8187
423+1276	1699
789+2938	3727
1096+756	1852
2036+874	2910
1745+817	2562
466+614	1080
396+905	1301
5937+721	6658
